curve,years,quote,implied,residual,pillar
discount,1.0,0.038,0.03799999999999994,-6.245004513516506e-17,2027-09-15
discount,2.0,0.037,0.03700000000000003,3.469446951953614e-17,2028-09-15
discount,3.0,0.036,0.03600000000000004,4.163336342344337e-17,2029-09-17
discount,4.0,0.0355,0.03550000000000953,9.534040223968532e-15,2030-09-16
discount,5.0,0.035,0.035000000000005894,5.891120924417237e-15,2031-09-15
discount,6.0,0.0348,0.034800000000000074,7.632783294297951e-17,2032-09-15
discount,7.0,0.0346,0.03460000000000004,4.163336342344337e-17,2033-09-15
discount,8.0,0.0345,0.03450000000000002,1.3877787807814457e-17,2034-09-15
discount,9.0,0.0344,0.03440000000000001,6.938893903907228e-18,2035-09-17
discount,10.0,0.0343,0.03430000000000001,1.3877787807814457e-17,2036-09-15
projection,1.0,0.043,0.04299999999999626,-3.733124920302089e-15,2027-09-15
projection,2.0,0.042,0.04200000000000005,4.85722573273506e-17,2028-09-15
projection,3.0,0.041,0.04100000000000006,5.551115123125783e-17,2029-09-17
projection,4.0,0.0405,0.04050000000000006,5.551115123125783e-17,2030-09-17
projection,5.0,0.04,0.03999999999999989,-1.1102230246251565e-16,2031-09-16
projection,6.0,0.0398,0.03979999999996125,-3.875372245332187e-14,2032-09-15
projection,7.0,0.0396,0.03959999999999998,-2.0816681711721685e-17,2033-09-15
projection,8.0,0.0395,0.03950000000000816,8.1601392309949e-15,2034-09-15
projection,9.0,0.0394,0.039399999999999984,-1.3877787807814457e-17,2035-09-17
projection,10.0,0.0393,0.03930000000001964,1.9637069748057456e-14,2036-09-16
